cveID,vendor,product,state,cwe_description,vector_string,cweID,assignerShortName,datePublished
CVE-2013-0019,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 7 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer COmWindowProxy Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0020,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 9 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer CMarkup Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0021,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer vtable Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0022,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 9 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer LsGetTrailInfo Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0023,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 9 and 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer CDispNode Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0024,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 8 and 9 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer pasteHTML Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0025,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 8 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer SLayoutRun Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0026,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 9 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer InsertElement Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0027,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer CPasteCommand Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0028,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 9 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer CObjectElement Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0029,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 9 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer CHTML Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0030,microsoft,n/a,PUBLISHED,"The Vector Markup Language (VML) implementation in Microsoft Internet Explorer 6 through 10 does not properly allocate buffers; which allows remote attackers to execute arbitrary code via a crafted web site; aka ""VML Memory Corruption Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0031,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0032,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0033,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0034,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0035,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0036,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0037,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0038,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0039,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0040,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0041,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0042,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0043,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0044,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0045,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0046,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0047,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0048,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0049,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0050,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0051,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0052,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0053,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0054,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0055,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0056,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0057,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0058,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0059,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0060,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0061,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0062,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0063,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0064,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0065,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0066,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0067,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0068,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0069,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0070,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0071,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0072,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0073,microsoft,n/a,PUBLISHED,"The Windows Forms (aka WinForms) component in Microsoft .NET Framework 2.0 SP2; 3.5; 3.5.1; 4; and 4.5 does not properly restrict the privileges of a callback function during object creation; which allows remote attackers to execute arbitrary code via (1) a crafted XAML browser application (XBAP) or (2) a crafted .NET Framework application; aka ""WinForms Callback Elevation Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0074,microsoft,n/a,PUBLISHED,"Microsoft Silverlight 5; and 5 Developer Runtime; before 5.1.20125.0 does not properly validate pointers during HTML object rendering; which allows remote attackers to execute arbitrary code via a crafted Silverlight application; aka ""Silverlight Double Dereference Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0075,microsoft,n/a,PUBLISHED,"The TCP/IP implementation in Microsoft Windows Vista SP2; Windows Server 2008 SP2; R2; and R2 SP1; Windows 7 Gold and SP1; Windows 8; Windows Server 2012; and Windows RT allows remote attackers to cause a denial of service (reboot) via a crafted packet that terminates a TCP connection; aka ""TCP FIN WAIT Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0076,microsoft,n/a,PUBLISHED,"The Client/Server Run-time Subsystem (CSRSS) in Microsoft Windows Server 2008 R2 and R2 SP1 and Windows 7 Gold and SP1 does not properly handle objects in memory; which allows local users to gain privileges via a crafted application; aka ""Reference Count Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0077,microsoft,n/a,PUBLISHED,"Quartz.dll in DirectShow in Microsoft Windows XP SP2 and SP3; Server 2003 SP2; Vista SP2; and Server 2008 SP2 allows remote attackers to execute arbitrary code via crafted media content in (1) a media file; (2) a media stream; or (3) a Microsoft Office document; aka ""Media Decompression Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0078,microsoft,n/a,PUBLISHED,"The Microsoft Antimalware Client in Windows Defender on Windows 8 and Windows RT uses an incorrect pathname for MsMpEng.exe; which allows local users to gain privileges via a crafted application; aka ""Microsoft Antimalware Improper Pathname Vulnerability.""",,,microsoft,2013-04-09T22:00:00
CVE-2013-0079,microsoft,n/a,PUBLISHED,"Microsoft Visio Viewer 2010 SP1 allows remote attackers to execute arbitrary code via a crafted Visio file that triggers incorrect memory allocation; aka ""Visio Viewer Tree Object Type Confusion Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0080,microsoft,n/a,PUBLISHED,"Microsoft SharePoint Server 2010 SP1 and SharePoint Foundation 2010 SP1 allow remote attackers to bypass intended read restrictions for content; and hijack user accounts; via a crafted URL; aka ""Callback Function Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0081,microsoft,n/a,PUBLISHED,"Microsoft SharePoint Portal Server 2003 SP3 and SharePoint Server 2007 SP3; 2010 SP1 and SP2; and 2013 do not properly process unassigned workflows; which allows remote attackers to cause a denial of service (W3WP process hang) via a crafted URL; aka ""SharePoint Denial of Service Vulnerability.""",,,microsoft,2013-09-11T10:00:00
CVE-2013-0082,microsoft,n/a,PUBLISHED,"Microsoft Office 2003 SP3 and 2007 SP3 allows remote attackers to execute arbitrary code via a crafted WordPerfect document (.wpd) file; aka ""WPD File Format Memory Corruption Vulnerability.""",,,microsoft,2013-11-13T00:00:00
CVE-2013-0083,microsoft,n/a,PUBLISHED,"Cross-site scripting (XSS) vulnerability in Microsoft SharePoint Server 2010 SP1 allows remote attackers to inject arbitrary web script or HTML via crafted content; leading to administrative command execution; aka ""SharePoint XSS Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0084,microsoft,n/a,PUBLISHED,"Directory traversal vulnerability in Microsoft SharePoint Server 2010 SP1 and SharePoint Foundation 2010 SP1 allows remote attackers to bypass intended read restrictions for content; and hijack user accounts; via a crafted URL; aka ""SharePoint Directory Traversal Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0085,microsoft,n/a,PUBLISHED,"Buffer overflow in Microsoft SharePoint Server 2010 SP1 and SharePoint Foundation 2010 SP1 allows remote attackers to cause a denial of service (W3WP process crash and site outage) via a crafted URL; aka ""Buffer Overflow Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0086,microsoft,n/a,PUBLISHED,"Microsoft OneNote 2010 SP1 does not properly determine buffer sizes during memory allocation; which allows remote attackers to obtain sensitive information via a crafted OneNote file; aka ""Buffer Size Validation Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0087,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer OnResize Use After Free Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0088,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer saveHistory Use After Free Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0089,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer CMarkupBehaviorContext Use After Free Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0090,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer CCaret Use After Free Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0091,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 8 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer CElement Use After Free Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0092,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer GetMarkupPtr Use After Free Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0093,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer onBeforeCopy Use After Free Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0094,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer removeChild Use After Free Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0095,microsoft,n/a,PUBLISHED,"Outlook in Microsoft Office for Mac 2008 before 12.3.6 and Office for Mac 2011 before 14.3.2 allows remote attackers to trigger access to a remote URL and consequently confirm the rendering of an HTML e-mail message by including unspecified HTML5 elements and leveraging the installation of a WebKit browser on the victim's machine; aka ""Unintended Content Loading Vulnerability.""",,,microsoft,2013-03-13T00:00:00
CVE-2013-0096,microsoft,n/a,PUBLISHED,"Writer in Microsoft Windows Essentials 2011 and 2012 allows remote attackers to bypass proxy settings and overwrite arbitrary files via crafted URL parameters; aka ""Windows Essentials Improper URI Handling Vulnerability.""",,,microsoft,2013-05-15T01:00:00
CVE-2013-0097,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0098,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0099,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0100,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0107,certcc,n/a,PUBLISHED,Stack-based buffer overflow in Foxit Advanced PDF Editor 3 before 3.04 might allow remote attackers to execute arbitrary code via a crafted document containing instructions that reconstruct a certain security cookie.,,,certcc,2022-10-03T16:15:04
CVE-2013-0108,certcc,n/a,PUBLISHED,An ActiveX control in HscRemoteDeploy.dll in Honeywell Enterprise Buildings Integrator (EBI) R310; R400.2; R410.1; and R410.2; SymmetrE R310; R410.1; and R410.2; ComfortPoint Open Manager (aka CPO-M) Station R100; and HMIWeb Browser client packages allows remote attackers to execute arbitrary code via a crafted HTML document.,,,certcc,2022-10-03T16:15:03
CVE-2013-0109,certcc,n/a,PUBLISHED,The NVIDIA driver before 307.78; and Release 310 before 311.00; in the NVIDIA Display Driver service on Windows does not properly handle exceptions; which allows local users to gain privileges or cause a denial of service (memory overwrite) via a crafted application.,,,certcc,2022-10-03T16:15:03
CVE-2013-0110,certcc,n/a,PUBLISHED,"nvSCPAPISvr.exe in the NVIDIA Stereoscopic 3D Driver service; as distributed with the NVIDIA driver before 307.78; and Release 310 before 311.00; on Windows; lacks "" (double quote) characters in the service path; which allows local users to gain privileges via a Trojan horse program.",,,certcc,2022-10-03T16:15:03
CVE-2013-0111,certcc,n/a,PUBLISHED,"daemonu.exe (aka the NVIDIA Update Service Daemon); as distributed with the NVIDIA driver before 307.78; and Release 310 before 311.00; on Windows; lacks "" (double quote) characters in the service path; which allows local users to gain privileges via a Trojan horse program.",,,certcc,2022-10-03T16:15:02
CVE-2013-0113,certcc,n/a,PUBLISHED,Nuance PDF Reader 7.0 and PDF Viewer Plus 7.1 allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted PDF document.,,,certcc,2022-10-03T16:15:04
CVE-2013-0118,certcc,n/a,PUBLISHED,CS-Cart before 3.0.6; when PayPal Standard Payments is configured; allows remote attackers to set the payment recipient via a modified value of the merchant's e-mail address; as demonstrated by setting the recipient to one's self.,,,certcc,2022-10-03T16:15:03
CVE-2013-0120,certcc,n/a,PUBLISHED,The web interface on Dell PowerConnect 6248P switches allows remote attackers to cause a denial of service (device crash) via a malformed request.,,,certcc,2022-10-03T16:15:04
CVE-2013-0122,certcc,n/a,PUBLISHED,The avast! Mobile Security application before 2.0.4400 for Android allows attackers to cause a denial of service (application crash) via a crafted application that sends an intent to com.avast.android.mobilesecurity.app.scanner.DeleteFileActivity with zero arguments.,,,certcc,2022-10-03T16:15:03
CVE-2013-0123,certcc,n/a,PUBLISHED,Multiple SQL injection vulnerabilities in the administration interface in ASKIA askiaweb allow remote attackers to execute arbitrary SQL commands via (1) the nHistoryId parameter to WebProd/pages/pgHistory.asp or (2) the OrderBy parameter to WebProd/pages/pgadmin.asp.,,,certcc,2022-10-03T16:15:02
CVE-2013-0124,certcc,n/a,PUBLISHED,Multiple cross-site scripting (XSS) vulnerabilities in the administration interface in ASKIA askiaweb allow remote attackers to inject arbitrary web script or HTML via the (1) Number or (2) UpdatePage parameter to WebProd/cgi-bin/AskiaExt.dll.,,,certcc,2022-10-03T16:15:02
CVE-2013-0125,certcc,n/a,PUBLISHED,Cross-site scripting (XSS) vulnerability in fileview.asp in C2 WebResource allows remote attackers to inject arbitrary web script or HTML via the File parameter.,,,certcc,2022-10-03T16:15:04
CVE-2013-0126,certcc,n/a,PUBLISHED,Multiple cross-site request forgery (CSRF) vulnerabilities in index.cgi on the Verizon FIOS Actiontec MI424WR-GEN3I router with firmware 40.19.36 allow remote attackers to hijack the authentication of administrators for requests that (1) add administrative accounts via the username and user_level parameters or (2) enable remote administration via the is_telnet_primary and is_telnet_secondary parameters.,,,certcc,2022-10-03T16:15:03
CVE-2013-0127,certcc,n/a,PUBLISHED,IBM Lotus Notes 8.x before 8.5.3 FP4 Interim Fix 1 and 9.0 before Interim Fix 1 does not block APPLET elements in HTML e-mail; which allows remote attackers to bypass intended restrictions on Java code execution and X-Confirm-Reading-To functionality via a crafted message; aka SPRs JMOY95BLM6 and JMOY95BN49.,,,certcc,2013-05-01T10:00:00
CVE-2013-0128,certcc,n/a,PUBLISHED,The Contact Customer Support feature in the TigerText Free Private Texting app before 3.1.402 for iOS sends a log-file e-mail message with unencrypted credentials; which allows remote attackers to obtain sensitive information by sniffing the network or leveraging access to an e-mail endpoint.,,,certcc,2022-10-03T16:15:05
CVE-2013-0129,certcc,n/a,PUBLISHED,"Multiple cross-site scripting (XSS) vulnerabilities in pd-admin before 4.17 allow remote authenticated users to inject arbitrary web script or HTML via (1) the WebFTP Overview ""Create new directory"" field or (2) the body of an e-mail autoresponder message.",,,certcc,2022-10-03T16:15:02
CVE-2013-0130,certcc,n/a,PUBLISHED,Multiple buffer overflows in Core FTP before 2.2 build 1769 allow remote FTP servers to execute arbitrary code or cause a denial of service (application crash) via a long directory name in a (1) DELE; (2) LIST; or (3) VIEW command.,,,certcc,2022-10-03T16:15:03
CVE-2013-0131,certcc,n/a,PUBLISHED,Buffer overflow in the NVIDIA GPU driver before 304.88; 310.x before 310.44; and 313.x before 313.30 for the X Window System on UNIX; when NoScanout mode is enabled; allows remote authenticated users to execute arbitrary code via a large ARGB cursor.,,,certcc,2013-04-08T16:00:00
CVE-2013-0132,certcc,n/a,PUBLISHED,The suexec implementation in Parallels Plesk Panel 11.0.9 contains a cgi-wrapper whitelist entry; which allows user-assisted remote attackers to execute arbitrary PHP code via a request containing crafted environment variables.,,,certcc,2022-10-03T16:15:04
CVE-2013-0133,certcc,n/a,PUBLISHED,Untrusted search path vulnerability in /usr/local/psa/admin/sbin/wrapper in Parallels Plesk Panel 11.0.9 allows local users to gain privileges via a crafted PATH environment variable.,,,certcc,2022-10-03T16:15:04
CVE-2013-0134,certcc,n/a,PUBLISHED,Cross-site scripting (XSS) vulnerability in the web interface in AirDroid allows remote attackers to inject arbitrary web script or HTML via a crafted text message that is transmitted by a managed phone.,,,certcc,2022-10-03T16:15:04
CVE-2013-0135,certcc,n/a,PUBLISHED,Multiple SQL injection vulnerabilities in PHP Address Book 8.2.5 allow remote attackers to execute arbitrary SQL commands via the id parameter to (1) addressbook/register/delete_user.php; (2) addressbook/register/edit_user.php; or (3) addressbook/register/edit_user_save.php; the email parameter to (4) addressbook/register/edit_user_save.php; (5) addressbook/register/reset_password.php; (6) addressbook/register/reset_password_save.php; or (7) addressbook/register/user_add_save.php; the username p,,,certcc,2013-04-09T01:00:00
CVE-2013-0136,certcc,n/a,PUBLISHED,Multiple directory traversal vulnerabilities in the EditDocument servlet in the Frontend in Mutiny before 5.0-1.11 allow remote authenticated users to upload and execute arbitrary programs; read arbitrary files; or cause a denial of service (file deletion or renaming) via (1) the uploadPath parameter in an UPLOAD operation; the paths[] parameter in a (2) DELETE; (3) CUT; or (4) COPY operation; or the newPath parameter in a (5) CUT or (6) COPY operation.,,,certcc,2022-10-03T16:15:04
CVE-2013-0137,certcc,n/a,PUBLISHED,The default configuration of the Digital Alert Systems DASDEC EAS device before 2.0-2 and the Monroe Electronics R189 One-Net EAS device before 2.0-2 contains a known SSH private key; which makes it easier for remote attackers to obtain root access; and spoof alerts; via an SSH session.,,,certcc,2013-06-29T21:00:00
CVE-2013-0138,certcc,n/a,PUBLISHED,BitZipper 2013 before Update 1 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted ZIP archive.,,,certcc,2022-10-03T16:15:04
